%   reference_lines   peak_locations   relative_error   absolute_error
   4.0261900e+03   4.6054930e+03   1.4388367e-01   5.7930300e+02
   4.4714800e+03   4.8467331e+03   8.3921453e-02   3.7525310e+02
   4.6857000e+03   5.0770078e+03   8.3511066e-02   3.9130780e+02
   4.7131500e+03   5.1811797e+03   9.9302950e-02   4.6802970e+02
   5.0156800e+03   5.8500727e+03   1.6635684e-01   8.3439270e+02
   5.8756200e+03   6.1735537e+03   5.0706768e-02   2.9793370e+02
   5.8759700e+03   6.4915521e+03   1.0476263e-01   6.1558210e+02
   6.6781500e+03   6.5244485e+03  -2.3015581e-02  -1.5370150e+02
   7.0651900e+03   7.0727214e+03   1.0659869e-03   7.5314000e+00
   7.0657100e+03             NaN             NaN             NaN
