% reference_lines	peak_locations	peak_widths	peak_proms	relaerror	abserror
   4.0261900e+03   4.6054930e+03   7.5714127e+01   3.6867000e+01   1.4388367e-01   5.7930300e+02
   4.4714800e+03   4.8467331e+03   5.1371457e+01   3.4827000e+01   8.3921453e-02   3.7525310e+02
   4.6857000e+03   5.0770078e+03   4.9909725e+01   9.0962000e+01   8.3511066e-02   3.9130780e+02
   4.7131500e+03   5.1811797e+03   6.3172827e+01   1.7886100e+02   9.9302950e-02   4.6802970e+02
   5.0156800e+03   5.8500727e+03   1.3210288e+02   1.2196000e+01   1.6635684e-01   8.3439270e+02
   5.8756200e+03   6.1735537e+03   7.6235509e+01   2.2848400e+02   5.0706768e-02   2.9793370e+02
   5.8759700e+03   6.4915521e+03   6.1727692e+01   1.1093000e+01   1.0476263e-01   6.1558210e+02
   6.6781500e+03   6.5244485e+03   9.5753114e+01   1.1093000e+01  -2.3015581e-02  -1.5370150e+02
   7.0651900e+03   7.0727214e+03   6.6697130e+01   7.3386000e+01   1.0659869e-03   7.5314000e+00
   7.0657100e+03             NaN             NaN             NaN             NaN             NaN
